booking_id,airline,flight_type,lead_time,departure_month,weekend_departure,num_passengers,fare_type,special_requests,previous_cancellations,payment_type,ticket_price,loyalty_member,seat_selection,travel_insurance,weather_risk_score,is_canceled
10019,Alaska,Domestic,166,Nov,1,4.0,Economy,2,2,PayPal,437.3,No,Free,No,1.0,0
10020,United,International,46,Dec,1,5.0,Economy,2,0,Debit Card,354.64,No,Paid,Yes,1.0,1
10021,JetBlue,Domestic,126,Sep,0,5.0,Economy,3,3,Credit Card,328.37,,Free,No,3.0,1
10022,Alaska,Domestic,146,Jun,0,3.0,Economy,0,0,Credit Card,371.71,Yes,Paid,No,9.0,0
10023,Delta,International,117,Dec,1,5.0,First,0,0,PayPal,653.95,No,Paid,No,1.0,0
10024,Delta,Domestic,142,Apr,1,4.0,Business,4,0,Credit Card,337.46,No,Free,No,7.0,1
10025,Southwest,Domestic,125,May,0,2.0,First,1,1,Credit Card,493.31,No,Paid,YES,9.0,0
10026,Southwest,International,155,Jun,0,1.0,Business,4,0,Debit Card,436.48,No,Free,No,6.0,1
10027,United,Domestic,151,Nov,0,3.0,Economy,0,1,Debit Card,325.26,No,Paid,No,6.0,0
10028,Alaska,Domestic,71,Mar,0,2.0,Economy,3,1,Credit Card,142.96,Yes,Free,,2.0,0
10029,Alaska,Domestic,106,Aug,1,1.0,Economy,1,1,Credit Card,272.19,,Paid,No,6.0,0
10030,Southwest,International,136,Apr,0,1.0,Economy,3,1,PayPal,370.69,No,Free,No,,1
10031,Alaska,International,174,Aug,0,1.0,Economy,4,0,PayPal,345.33,No,Paid,No,4.0,1
10032,Alaska,International,32,Oct,0,6.0,Business,2,1,Debit Card,541.53,Yes,Paid,Yes,0.0,0
10033,Delta,Domestic,189,Oct,0,2.0,Economy,3,0,PayPal,257.31,No,Free,Yes,0.0,1
10034,Southwest,International,224,Mar,1,3.0,Economy,4,2,Credit Card,339.45,No,FREE,No,10.0,1
10035,JetBlue,International,18,Oct,1,3.0,Business,4,0,Credit Card,435.09,Yes,Paid,YES,3.0,0
10036,Southwest,Domestic,194,Jul,0,1.0,Business,4,0,Credit Card,321.06,No,Paid,Yes,1.0,0
10037,JetBlue,International,73,Nov,1,2.0,Economy,2,0,Credit Card,496.31,Yes,,Y,6.0,0
10038,Delta,International,167,Dec,0,6.0,Business,2,1,Credit Card,207.74,NO,Paid,Y,2.0,1
10039,United,Domestic,174,Sep,0,1.0,Business,2,0,Credit Card,147.23,No,Free,No,3.0,1
10040,Alaska,Domestic,233,Apr,0,5.0,Economy,1,1,PayPal,319.9,Yes,Free,No,8.0,1
10041,Delta,Domestic,192,Aug,0,3.0,Economy,2,1,Debit Card,350.05,No,paid,YES,1.0,0
10042,Alaska,Domestic,156,Mar,0,4.0,Economy,2,0,Debit Card,390.53,No,Free,No,7.0,1
10043,United,Domestic,177,Jul,0,1.0,Economy,2,1,Credit Card,379.38,Yes,Free,No,0.0,0
10044,United,Domestic,97,Mar,1,5.0,Economy,3,0,Credit Card,302.82,No,paid,yes,2.0,0
10045,Delta,International,140,Dec,0,3.0,First,2,0,Credit Card,148.88,Yes,Free,No,3.0,0
10046,United,International,128,Jul,1,6.0,Business,1,0,Debit Card,343.38,No,Paid,No,5.0,0
10047,JetBlue,International,161,Nov,0,2.0,Business,4,0,Credit Card,214.51,Yes,Free,no,0.0,1
10048,United,Domestic,92,Oct,1,3.0,First,3,1,Credit Card,369.88,No,Paid,No,7.0,0
10049,Alaska,Domestic,175,Oct,1,2.0,Business,0,0,Credit Card,204.88,NO,Paid,No,1.0,1
10050,Alaska,Domestic,238,Nov,0,2.0,Economy,2,1,Debit Card,413.09,Y,Free,Yes,4.0,1
10051,Alaska,Domestic,204,Nov,1,6.0,Economy,4,0,PayPal,593.51,No,Free,Yes,5.0,1
10052,Alaska,International,47,Jun,0,6.0,Business,4,1,Debit Card,258.36,No,Paid,Yes,7.0,1
10053,JetBlue,International,176,Feb,1,1.0,Economy,3,2,Credit Card,182.89,No,Paid,No,2.0,1
10054,Southwest,Domestic,63,Nov,0,1.0,Economy,0,0,Credit Card,520.23,No,Free,Yes,8.0,0
10055,Delta,International,60,Mar,1,3.0,Economy,1,1,Credit Card,607.38,No,Free,No,4.0,0
10056,Alaska,International,156,Jun,1,6.0,Business,4,1,Credit Card,185.62,Yes,Paid,No,7.0,0
10057,United,Domestic,38,Apr,0,5.0,Economy,4,0,Credit Card,347.19,Yes,Paid,No,3.0,0
10058,Alaska,International,127,Jun,0,3.0,Business,4,0,Credit Card,428.15,yes,Free,No,8.0,0
10059,United,Domestic,87,Jan,1,4.0,Economy,4,0,Credit Card,323.56,No,Free,YES,7.0,0
10060,United,Domestic,25,Oct,0,2.0,Economy,3,0,Credit Card,114.77,No,PAID,No,4.0,0
10061,Alaska,Domestic,16,Dec,0,2.0,Economy,0,2,Credit Card,167.79,Yes,FREE,No,2.0,0
10062,JetBlue,Domestic,70,Jan,0,1.0,Business,4,0,Debit Card,182.51,No,Paid,No,0.0,0
10063,United,Domestic,12,Mar,0,5.0,Economy,1,3,PayPal,214.39,Yes,Free,No,4.0,0
10064,United,Domestic,68,Aug,1,6.0,Economy,1,1,PayPal,372.16,No,Free,No,4.0,1
10065,Alaska,Domestic,25,Aug,0,6.0,Economy,2,0,Credit Card,513.68,YES,Paid,No,3.0,0
10066,United,Domestic,48,Nov,0,1.0,Economy,4,1,Credit Card,169.96,Yes,FREE,No,9.0,1
10067,United,Domestic,194,Apr,1,4.0,Economy,4,0,PayPal,249.97,No,Paid,No,9.0,1
10068,Alaska,Domestic,6,Jun,1,3.0,Economy,4,1,Credit Card,204.61,No,Paid,No,7.0,0
10069,Alaska,Domestic,57,Aug,0,3.0,Economy,4,2,PayPal,400.38,Yes,Free,No,2.0,0
10070,Delta,Domestic,48,Jul,0,5.0,Economy,4,0,Debit Card,244.93,,Free,yes,9.0,1
10071,JetBlue,Domestic,102,Nov,1,1.0,Business,1,1,PayPal,218.5,No,Free,No,8.0,1
10072,JetBlue,Domestic,52,Jul,1,1.0,Economy,0,2,PayPal,136.41,Yes,Free,Yes,2.0,0
10073,United,Domestic,192,Apr,0,4.0,Economy,0,0,Debit Card,550.36,No,Paid,Yes,3.0,0
10074,JetBlue,Domestic,61,Sep,0,3.0,Business,2,1,,666.54,yes,Free,No,5.0,0
10075,United,International,16,Dec,0,1.0,Economy,1,0,Credit Card,371.78,No,Free,No,8.0,0
10076,Delta,Domestic,170,Oct,0,6.0,Economy,4,2,Credit Card,567.98,No,Paid,No,9.0,1
10077,Alaska,Domestic,24,Jun,0,5.0,Economy,0,0,Credit Card,280.63,,Free,No,1.0,0
10078,Alaska,International,130,Dec,1,3.0,Economy,3,1,Credit Card,359.87,Yes,Free,Yes,1.0,1
10079,Alaska,International,206,Nov,0,4.0,Economy,3,2,,451.18,Yes,Free,No,1.0,1
10080,JetBlue,International,28,Mar,1,5.0,First,3,2,Credit Card,254.75,No,Free,No,4.0,0
10081,Delta,International,116,May,0,2.0,Economy,4,0,PayPal,337.68,Yes,Free,Yes,5.0,1
10082,JetBlue,Domestic,234,May,1,6.0,Economy,4,1,Credit Card,320.4,No,Paid,No,2.0,0
10083,JetBlue,Domestic,159,May,1,4.0,Economy,2,0,Credit Card,421.28,YES,Free,,2.0,0
10084,Delta,Domestic,25,Aug,0,5.0,Business,2,0,Credit Card,368.69,No,Free,No,1.0,0
10085,Delta,Domestic,123,Sep,0,1.0,Economy,2,0,Credit Card,258.16,No,Paid,,10.0,0
10086,Delta,Domestic,143,Sep,0,2.0,Business,3,0,Credit Card,317.88,No,Free,No,5.0,1
10087,Delta,Domestic,24,Jun,1,4.0,Business,4,0,PayPal,516.06,YES,Free,No,,0
10088,Alaska,Domestic,53,Jun,1,1.0,Business,3,2,,436.84,No,Paid,No,8.0,0
10089,Southwest,International,155,Sep,0,6.0,Business,2,0,Credit Card,424.66,N,Free,No,10.0,1
10090,Southwest,International,72,Apr,0,2.0,Economy,4,1,Credit Card,675.84,No,Free,No,9.0,0
10091,Delta,Domestic,119,Jun,0,3.0,Business,1,1,Credit Card,201.67,yes,Free,no,3.0,1
10092,Southwest,International,55,Apr,1,1.0,Economy,0,0,PayPal,459.37,No,Free,Yes,1.0,0
10093,Southwest,Domestic,64,Nov,0,5.0,Business,0,2,Credit Card,367.67,No,Paid,No,,1
10094,Delta,International,92,Jan,0,4.0,Economy,2,1,Credit Card,408.13,No,Free,No,4.0,0
10095,Southwest,Domestic,85,Jul,0,,Business,3,1,Credit Card,385.52,No,Paid,yes,2.0,0
10096,JetBlue,International,79,Oct,0,1.0,Economy,1,2,PayPal,261.79,No,Free,no,2.0,1
10097,United,Domestic,168,Nov,1,3.0,Economy,4,0,Credit Card,215.09,No,Free,No,4.0,1
10098,United,Domestic,107,Dec,0,4.0,First,3,0,PayPal,359.98,Yes,Paid,No,3.0,0
10099,Delta,Domestic,178,Jun,1,4.0,Economy,2,2,Credit Card,250.5,No,Paid,No,4.0,1
10100,Alaska,Domestic,117,Sep,0,1.0,Economy,3,0,Debit Card,308.26,No,FREE,No,1.0,1
10101,Delta,Domestic,232,Jul,0,3.0,Economy,2,0,Debit Card,471.74,No,Paid,No,10.0,0
10102,Alaska,Domestic,198,Jul,1,6.0,First,0,1,Credit Card,188.24,Yes,Paid,No,0.0,0
10103,United,Domestic,205,Feb,1,6.0,Economy,0,1,Credit Card,333.16,Yes,Free,,4.0,1
10104,Delta,Domestic,156,Dec,1,2.0,Economy,3,1,Credit Card,507.63,No,Free,No,10.0,1
10105,JetBlue,Domestic,82,Nov,0,1.0,Economy,1,1,Credit Card,289.0,No,Free,No,0.0,0
10106,Southwest,International,146,Sep,0,2.0,Economy,4,0,PayPal,565.72,Yes,paid,Yes,2.0,0
10107,Alaska,Domestic,193,Oct,1,6.0,Business,2,0,Credit Card,142.89,Yes,Free,Yes,7.0,1
10108,Southwest,Domestic,168,Sep,0,4.0,Business,4,1,Debit Card,614.71,Yes,Paid,No,10.0,1
10109,Southwest,Domestic,172,Jun,0,2.0,Economy,0,0,Credit Card,362.52,No,Free,No,7.0,0
10110,Delta,International,14,Mar,1,3.0,Economy,1,0,Credit Card,173.99,No,Free,No,8.0,0
10111,Southwest,Domestic,130,Jan,1,5.0,Business,1,1,Debit Card,476.64,Yes,Paid,No,0.0,0
10112,JetBlue,International,138,Apr,1,6.0,Economy,4,0,Credit Card,420.32,Yes,Free,Y,3.0,0
10113,Southwest,International,180,Mar,1,6.0,Economy,0,1,Credit Card,553.5,No,Free,No,5.0,1
10114,Delta,Domestic,173,Dec,1,3.0,Economy,4,0,Credit Card,144.95,Yes,Free,Yes,6.0,0
10115,JetBlue,Domestic,29,Jan,0,2.0,Economy,3,0,Credit Card,206.54,No,Free,no,4.0,1
10116,United,International,56,Mar,0,1.0,Economy,1,1,,467.81,No,Free,YES,6.0,1
10117,Southwest,International,231,Apr,0,4.0,Economy,1,1,,716.94,No,Paid,No,10.0,1
10118,Delta,Domestic,145,Aug,0,5.0,Economy,3,3,Credit Card,440.53,No,Paid,No,9.0,1
10119,United,Domestic,178,Sep,0,1.0,Economy,0,1,Debit Card,462.21,No,Free,Yes,7.0,1
10120,United,International,127,Mar,0,1.0,Business,1,0,Credit Card,253.42,Yes,Paid,No,9.0,1
10121,Alaska,Domestic,47,Jun,0,3.0,Economy,2,0,Credit Card,334.54,No,Paid,Yes,5.0,1
10122,JetBlue,International,193,Oct,0,2.0,Business,2,1,Credit Card,273.22,,Free,No,10.0,1
10123,Southwest,Domestic,223,Nov,0,6.0,Economy,0,0,PayPal,430.33,YES,Free,YES,3.0,0
10124,Delta,Domestic,135,May,0,6.0,Business,3,0,PayPal,21.35,Yes,Paid,No,0.0,0
10125,Alaska,International,21,Jun,0,3.0,Business,4,0,Debit Card,386.0,No,Paid,No,10.0,0
10126,JetBlue,Domestic,5,Apr,1,,First,0,1,Credit Card,471.36,Yes,Free,No,4.0,0
10127,Alaska,Domestic,203,Oct,0,3.0,Business,4,3,Debit Card,355.98,Yes,free,Yes,9.0,1
10128,JetBlue,Domestic,238,Jun,0,6.0,Economy,0,0,Credit Card,545.45,,Paid,No,9.0,1
10129,JetBlue,Domestic,184,Jul,1,1.0,Economy,2,3,Credit Card,239.38,No,Free,No,9.0,1
10130,Southwest,Domestic,103,Sep,0,4.0,Economy,3,1,PayPal,558.23,No,Free,Yes,3.0,0
10131,JetBlue,Domestic,35,Oct,0,2.0,Economy,2,0,Credit Card,259.74,Yes,Free,No,4.0,0
10132,Alaska,Domestic,78,Jul,0,5.0,Economy,3,1,Credit Card,362.29,Yes,Paid,No,3.0,1
10133,JetBlue,International,219,Jun,0,5.0,Business,4,1,PayPal,192.8,No,FREE,No,8.0,1
10134,Southwest,Domestic,115,Jan,1,1.0,Economy,0,2,Debit Card,430.84,Yes,Free,No,2.0,1
10135,Southwest,Domestic,56,Feb,0,3.0,Economy,1,2,Credit Card,378.41,No,FREE,No,2.0,0
10136,Alaska,Domestic,48,Jan,1,3.0,Business,1,1,Credit Card,463.41,No,Paid,Y,9.0,1
10137,United,International,172,Sep,0,6.0,Economy,3,0,Credit Card,117.27,No,Free,Yes,6.0,1
10138,United,International,81,Oct,0,1.0,Economy,3,0,Credit Card,378.74,No,Free,N,1.0,1
10139,JetBlue,Domestic,65,Oct,0,6.0,Business,2,0,Credit Card,416.49,No,Free,No,8.0,0
10140,Delta,Domestic,76,Sep,0,6.0,Economy,1,0,Credit Card,221.6,No,Paid,Yes,7.0,0
10141,JetBlue,Domestic,44,Jul,0,5.0,Economy,2,0,PayPal,434.62,Yes,Free,Yes,5.0,1
10142,Alaska,International,78,Feb,0,6.0,First,4,1,Credit Card,40.0,Yes,Free,,8.0,0
10143,Alaska,International,19,Jun,0,6.0,Business,1,0,Credit Card,342.12,no,Free,No,10.0,0
10144,Alaska,Domestic,191,Nov,0,5.0,Business,4,0,Credit Card,557.75,Yes,Paid,No,,0
10145,Alaska,International,220,Apr,0,3.0,Economy,0,1,Credit Card,340.91,Yes,Paid,Yes,3.0,1
10146,Alaska,International,122,Jan,1,2.0,Business,2,0,Credit Card,259.33,,Paid,No,6.0,0
10147,Southwest,Domestic,233,Jan,0,4.0,Economy,3,0,PayPal,350.95,No,Paid,No,0.0,1
10148,United,Domestic,220,Dec,0,6.0,Economy,1,3,PayPal,373.87,No,Free,No,0.0,1
10149,Alaska,Domestic,66,May,0,2.0,Economy,2,1,Credit Card,485.49,No,paid,No,0.0,0
10150,Delta,Domestic,82,Dec,0,5.0,Economy,3,0,PayPal,378.18,Yes,free,Yes,7.0,1
10151,Delta,International,2,Feb,1,2.0,Economy,0,0,Credit Card,466.68,No,Paid,No,5.0,0
10152,Delta,Domestic,181,Apr,0,4.0,Economy,1,0,Debit Card,372.89,Yes,Free,No,2.0,0
10153,Delta,Domestic,205,Jan,1,2.0,Economy,4,1,Credit Card,255.1,No,Free,No,9.0,1
10154,Southwest,Domestic,63,Apr,0,2.0,Economy,0,0,PayPal,163.74,No,Free,Yes,6.0,0
10155,Delta,Domestic,39,Nov,1,2.0,Business,3,0,Credit Card,412.04,No,Free,No,5.0,1
10156,Alaska,Domestic,58,Jun,0,2.0,Economy,1,1,Credit Card,40.0,No,Paid,No,4.0,0
10157,JetBlue,Domestic,182,Oct,1,1.0,Economy,1,1,Debit Card,112.87,No,PAID,Yes,2.0,1
10158,Delta,Domestic,61,Apr,0,6.0,Economy,0,0,Credit Card,164.28,No,Paid,No,3.0,1
10159,Southwest,Domestic,131,Jan,0,5.0,Economy,1,0,Credit Card,460.05,Yes,Paid,No,10.0,1
10160,Southwest,Domestic,59,Jul,0,4.0,Economy,3,0,Credit Card,151.43,NO,Free,No,10.0,0
10161,Delta,Domestic,115,Feb,0,5.0,Economy,0,3,Debit Card,425.82,yes,Free,Yes,0.0,1
10162,JetBlue,Domestic,74,Sep,1,1.0,Economy,4,0,Credit Card,215.52,No,Paid,No,8.0,0
10163,Delta,Domestic,121,Mar,0,1.0,First,0,0,Credit Card,339.49,No,Paid,Yes,4.0,1
10164,Southwest,Domestic,222,Aug,0,1.0,Economy,0,2,PayPal,351.24,No,Free,Yes,1.0,1
10165,United,Domestic,106,Aug,0,6.0,Economy,4,1,Credit Card,337.4,Yes,Free,No,10.0,1
10166,Alaska,Domestic,95,Mar,0,1.0,Economy,3,0,Credit Card,269.47,Yes,Paid,Y,8.0,1
10167,Southwest,Domestic,90,Apr,0,2.0,Economy,2,0,Debit Card,140.71,,Free,Yes,6.0,0
10168,Delta,International,157,Feb,1,5.0,Economy,2,1,Debit Card,363.76,No,Free,No,7.0,1
10169,Alaska,Domestic,234,Apr,0,3.0,Economy,4,1,PayPal,438.07,Yes,Paid,Yes,2.0,1
10170,Delta,Domestic,129,Nov,1,4.0,Economy,3,0,Credit Card,455.09,No,,No,6.0,0
10171,Delta,International,61,Nov,0,1.0,First,1,0,Credit Card,371.45,No,FREE,Yes,10.0,1
10172,United,Domestic,48,Nov,0,5.0,Business,4,0,PayPal,396.06,No,,No,0.0,1
10173,Alaska,Domestic,136,Sep,1,1.0,Economy,2,1,Debit Card,252.04,Yes,Paid,No,5.0,1
10174,Alaska,International,91,Feb,1,6.0,Business,3,0,Debit Card,422.93,No,Free,No,9.0,1
10175,United,International,158,Dec,0,1.0,Economy,0,1,Credit Card,417.77,No,Free,No,5.0,0
10176,Southwest,Domestic,123,Dec,0,1.0,Business,3,0,Credit Card,318.31,N,Paid,No,10.0,0
10177,Delta,Domestic,225,Mar,0,1.0,Economy,3,2,Credit Card,366.73,Yes,Paid,No,9.0,1
10178,JetBlue,Domestic,60,Nov,0,1.0,Economy,2,0,PayPal,356.25,yes,paid,Yes,5.0,0
10179,Delta,Domestic,206,Nov,1,4.0,Business,2,0,Credit Card,423.92,Yes,Paid,Yes,2.0,0
10180,Delta,Domestic,47,Apr,0,5.0,Business,1,1,Credit Card,143.86,No,Free,No,5.0,0
10181,Southwest,Domestic,152,May,0,6.0,Business,1,3,Debit Card,141.08,Yes,Paid,Yes,2.0,1
10182,Delta,Domestic,163,Jan,1,1.0,Economy,4,0,Credit Card,148.35,No,Paid,No,9.0,1
10183,United,Domestic,135,Jul,1,1.0,First,0,0,Credit Card,297.73,Yes,Free,,8.0,0
10184,United,International,200,Oct,0,1.0,First,1,1,Debit Card,423.74,Yes,paid,No,6.0,1
10185,Alaska,Domestic,57,Jul,0,1.0,Economy,2,0,Credit Card,45.56,Yes,,No,3.0,1
10186,JetBlue,Domestic,100,Sep,0,2.0,Economy,3,0,Credit Card,373.16,No,Paid,Yes,2.0,0
10187,Delta,Domestic,111,Apr,1,2.0,Economy,4,0,Credit Card,527.13,No,Free,Yes,5.0,1
10188,Delta,Domestic,172,Jun,1,3.0,First,1,0,Debit Card,398.24,No,Free,Y,8.0,1
10189,Southwest,Domestic,61,Nov,0,1.0,Economy,3,0,PayPal,77.36,No,Free,Yes,2.0,0
10190,United,International,38,Feb,0,3.0,Economy,3,1,Debit Card,432.95,Yes,Free,No,7.0,0
10191,JetBlue,Domestic,223,Dec,0,4.0,Economy,1,0,Debit Card,393.92,No,free,No,5.0,1
10192,Alaska,Domestic,57,Dec,1,3.0,Economy,0,2,Credit Card,312.03,No,Free,No,3.0,0
10193,United,Domestic,208,Apr,0,5.0,Economy,0,0,Debit Card,385.45,yes,Paid,No,4.0,0
10194,Alaska,Domestic,98,Feb,1,2.0,Economy,4,1,PayPal,164.58,Yes,Free,Yes,2.0,0
10195,Southwest,Domestic,228,Oct,1,2.0,First,0,0,Credit Card,367.14,NO,Free,Yes,1.0,1
10196,Southwest,Domestic,210,May,0,1.0,Economy,4,0,Credit Card,427.0,Yes,Paid,No,8.0,1
10197,Delta,International,191,Jul,0,1.0,Business,2,0,PayPal,262.99,Yes,Free,Yes,2.0,0
10198,JetBlue,Domestic,43,Jan,0,4.0,Economy,1,1,,294.08,Yes,Paid,No,5.0,0
10199,Alaska,Domestic,28,Oct,0,6.0,Economy,3,1,Credit Card,280.53,Yes,paid,,4.0,0
10200,United,Domestic,58,Oct,0,4.0,Economy,4,0,PayPal,293.46,No,Free,YES,9.0,0
10201,Southwest,Domestic,70,Jul,0,5.0,Economy,0,1,Credit Card,243.78,,Paid,No,10.0,1
10202,Delta,International,91,Oct,1,1.0,Economy,4,0,Credit Card,252.11,No,Free,Yes,7.0,0
10203,Delta,Domestic,8,Jun,1,1.0,First,4,2,Debit Card,432.25,Yes,Paid,no,4.0,0
10204,Alaska,International,126,Jun,0,4.0,Economy,0,1,Credit Card,116.02,Yes,Free,NO,10.0,1
10205,Southwest,Domestic,219,Dec,0,4.0,Economy,0,0,Debit Card,385.62,No,Free,Yes,7.0,1
10206,JetBlue,Domestic,133,Aug,0,4.0,Economy,1,0,Credit Card,431.98,No,Paid,No,,0
10207,Southwest,Domestic,156,Aug,1,2.0,Economy,3,2,Credit Card,170.62,Yes,Free,Yes,4.0,1
10208,Alaska,International,185,Jun,1,3.0,First,1,0,Credit Card,349.28,No,Paid,No,10.0,1
10209,Alaska,Domestic,144,Mar,0,3.0,Economy,1,0,Credit Card,231.68,Yes,Free,No,9.0,1
10210,Southwest,Domestic,143,May,0,1.0,Economy,0,1,Credit Card,519.09,No,Free,Yes,5.0,0
10211,Alaska,International,214,Feb,0,2.0,Economy,0,0,PayPal,331.21,Yes,Free,Yes,4.0,0
10212,Southwest,Domestic,222,May,0,4.0,Economy,3,2,Credit Card,566.24,Yes,Free,no,1.0,0
10213,United,Domestic,130,Sep,0,1.0,Economy,4,0,Credit Card,545.12,Yes,Paid,Yes,9.0,1
10214,Southwest,Domestic,20,Oct,1,2.0,Economy,1,0,Credit Card,403.03,Yes,Paid,Yes,9.0,0
10215,Southwest,International,63,Jan,1,5.0,Economy,3,2,Debit Card,659.98,Yes,Free,Yes,5.0,0
10216,Alaska,Domestic,89,Oct,0,,Economy,1,0,Credit Card,139.57,No,Paid,NO,6.0,0
10217,Alaska,International,35,May,1,2.0,Economy,4,0,Credit Card,562.36,no,Free,NO,2.0,1
10218,Delta,International,233,Dec,1,1.0,Business,1,2,Credit Card,322.47,Yes,Free,No,2.0,1
10219,Delta,Domestic,228,Jun,0,3.0,Economy,2,0,Credit Card,342.26,Yes,Free,No,6.0,1
10220,United,Domestic,213,Nov,0,4.0,Business,3,0,Credit Card,295.43,No,Paid,Yes,10.0,1
10221,Delta,Domestic,61,Jul,1,6.0,Business,0,2,Debit Card,156.99,No,Paid,yes,9.0,0
10222,Southwest,Domestic,169,Sep,0,5.0,Economy,1,0,,439.74,No,Paid,No,3.0,1
10223,Alaska,International,75,Jun,1,6.0,Economy,3,0,Credit Card,186.3,No,Paid,No,1.0,0
10224,Delta,International,169,May,1,6.0,Economy,3,0,PayPal,277.26,Yes,Paid,No,8.0,1
10225,Delta,Domestic,188,Dec,1,2.0,Business,1,1,PayPal,283.46,Yes,,Yes,8.0,1
10226,United,Domestic,12,Jul,1,1.0,Economy,0,1,PayPal,499.38,No,Paid,No,5.0,0
10227,United,Domestic,10,Jan,1,1.0,Economy,0,2,PayPal,349.69,No,Free,No,1.0,0
10228,Southwest,Domestic,53,Nov,1,6.0,Economy,1,1,,40.0,No,Free,No,2.0,0
10229,Alaska,Domestic,15,May,0,4.0,Business,3,0,Debit Card,234.13,No,Free,No,4.0,0
10230,United,Domestic,7,Feb,0,1.0,Economy,0,0,Credit Card,141.3,,Paid,No,10.0,0
10231,Delta,Domestic,103,Apr,0,6.0,Economy,1,2,Credit Card,430.35,No,Free,No,10.0,1
10232,Alaska,Domestic,58,Jul,1,1.0,Economy,1,1,PayPal,194.4,Yes,Paid,No,4.0,1
10233,Alaska,Domestic,56,May,0,4.0,Economy,1,1,Credit Card,275.18,Yes,free,Yes,8.0,1
10234,Delta,Domestic,39,Dec,0,5.0,Economy,3,0,Credit Card,605.05,No,Free,Yes,9.0,1
10235,United,Domestic,236,Jun,0,6.0,Business,0,1,Credit Card,449.15,Yes,Free,yes,2.0,1
10236,Delta,International,186,Feb,1,3.0,Business,3,0,Debit Card,196.96,No,Paid,Yes,1.0,1
10237,Alaska,Domestic,129,Mar,1,3.0,Business,2,1,Debit Card,475.51,No,Paid,N,9.0,1
10238,JetBlue,International,93,Jul,1,,Economy,0,1,Credit Card,259.5,no,Paid,No,7.0,1
10239,JetBlue,International,221,Nov,0,2.0,Economy,3,1,Credit Card,475.16,Yes,Free,No,6.0,1
10240,Southwest,Domestic,203,Feb,1,5.0,Economy,0,0,Debit Card,302.27,N,Free,No,8.0,0
10241,Delta,International,137,Dec,1,2.0,Economy,2,0,Credit Card,225.6,No,Paid,No,2.0,1
10242,Delta,Domestic,43,Jun,0,3.0,Economy,4,2,Credit Card,212.51,No,Paid,No,5.0,0
10243,Southwest,Domestic,138,May,0,4.0,Economy,1,0,Credit Card,400.27,Yes,Free,,4.0,0
10244,Southwest,Domestic,206,Oct,0,6.0,Economy,3,1,PayPal,487.82,Yes,Paid,No,4.0,1
10245,Southwest,Domestic,79,Jan,1,1.0,Economy,2,1,Credit Card,412.14,No,Free,No,9.0,0
10246,Alaska,Domestic,80,Dec,0,3.0,Economy,2,1,Credit Card,299.43,Yes,Paid,No,7.0,0
10247,Delta,Domestic,217,Nov,0,5.0,Business,0,2,Debit Card,108.37,No,Paid,No,0.0,1
10248,Alaska,Domestic,1,Oct,1,3.0,Economy,0,0,Credit Card,270.49,No,Free,No,0.0,0
