Date,rentals,avg_temp_f,rainy,campus_event,avg_ride_minutes,revenue
2024-02-21,86,43.6,Yes,None,18.4,659.03
2024-02-22,20,30.1,Yes,None,14.2,125.3
2024-02-23,63,47.3,Yes,None,20.2,409.77
2024-02-24,88,37.2,No,Concert,24.7,797.21
2024-02-25,112,51.8,No,None,17.1,769.72
2024-02-26,51,40.9,Yes,None,22.3,456.33
2024-02-27,57,41.7,Yes,None,12.2,286.87
2024-02-28,72,38.3,No,None,21.2,674.13
2024-02-29,20,42.5,Yes,None,17.3,50.0
2024-03-01,49,50.4,Yes,None,14.4,279.28
2024-03-02,44,46.8,Yes,None,15.0,275.32
2024-03-03,48,44.6,No,None,28.1,471.8
2024-03-04,74,39.2,No,None,25.7,697.66
2024-03-05,52,36.1,Yes,None,17.8,391.9
2024-03-06,128,49.7,No,None,20.5,961.63
2024-03-07,121,58.5,No,None,16.0,865.78
2024-03-08,29,47.7,Yes,None,22.2,196.5
2024-03-09,78,53.2,No,None,27.2,771.8
2024-03-10,20,45.2,Yes,None,22.1,122.79
2024-03-11,106,49.4,No,None,18.6,934.49
2024-03-12,56,41.5,Yes,None,19.5,494.45
2024-03-13,135,51.6,No,None,14.5,956.75
2024-03-14,20,38.1,Yes,None,12.0,155.14
2024-03-15,86,45.6,No,None,21.7,678.04
2024-03-16,74,51.2,No,None,19.4,693.29
2024-03-17,24,50.1,Yes,None,23.2,162.16
2024-03-18,20,47.8,Yes,None,16.8,162.91
2024-03-19,20,57.4,Yes,None,21.9,159.19
2024-03-20,20,45.0,Yes,None,13.3,92.84
2024-03-21,20,52.8,Yes,None,21.5,247.55
2024-03-22,104,54.2,No,None,19.3,884.57
2024-03-23,20,57.2,Yes,None,19.6,67.03
2024-03-24,53,62.9,Yes,Concert,20.2,580.05
2024-03-25,86,55.3,No,None,27.2,772.21
2024-03-26,128,51.5,Yes,Career Fair,21.9,1115.31
2024-03-27,35,49.3,Yes,None,16.4,243.25
2024-03-28,76,49.6,Yes,Club Fair,16.2,554.13
2024-03-29,117,56.0,No,None,18.6,800.65
2024-03-30,49,50.2,Yes,None,16.9,390.2
2024-03-31,62,53.2,Yes,None,18.7,529.35
2024-04-01,123,53.6,Yes,None,16.2,878.8
2024-04-02,147,59.1,No,None,21.7,1393.81
2024-04-03,101,53.4,No,None,23.1,931.02
2024-04-04,167,48.6,No,None,21.6,1343.23
2024-04-05,113,56.8,Yes,None,20.1,871.88
2024-04-06,23,46.6,Yes,None,14.5,167.3
2024-04-07,62,54.0,No,None,23.7,506.87
2024-04-08,194,55.3,No,None,26.1,1681.81
2024-04-09,196,62.3,No,None,23.3,1672.3
2024-04-10,111,58.7,Yes,None,23.3,994.18
2024-04-11,141,50.7,No,None,18.8,1238.7
2024-04-12,128,59.5,Yes,None,21.8,1078.34
2024-04-13,90,51.8,No,None,20.6,772.87
2024-04-14,48,60.8,Yes,None,13.2,334.21
2024-04-15,147,57.1,Yes,None,23.3,1264.9
2024-04-16,150,57.4,No,None,27.7,1380.91
2024-04-17,164,65.2,No,None,19.3,1216.42
2024-04-18,134,56.2,No,None,24.6,1255.92
2024-04-19,136,61.0,Yes,None,16.5,944.94
2024-04-20,60,54.0,Yes,None,15.5,485.22
2024-04-21,67,51.8,Yes,None,22.1,504.23
2024-04-22,190,64.1,No,None,27.0,1878.24
2024-04-23,206,60.3,No,None,24.6,1801.96
2024-04-24,148,63.5,No,None,28.9,1456.78
2024-04-25,120,54.2,Yes,None,17.3,892.62
2024-04-26,110,51.8,Yes,None,14.2,675.26
2024-04-27,120,71.8,Yes,None,17.4,950.49
2024-04-28,174,61.2,No,None,21.0,1475.97
2024-04-29,196,60.4,No,None,22.4,1629.32
2024-04-30,161,65.3,Yes,None,19.1,1339.97
2024-05-01,142,62.1,No,None,20.6,1201.75
2024-05-02,68,53.4,Yes,None,15.5,532.6
2024-05-03,174,58.7,No,None,20.9,1482.85
2024-05-04,106,61.1,No,None,16.5,791.1
2024-05-05,98,65.6,Yes,None,17.1,810.01
2024-05-06,210,67.6,Yes,None,28.9,2081.04
2024-05-07,191,61.2,No,None,23.6,1725.37
2024-05-08,126,61.2,Yes,None,21.9,1068.11
2024-05-09,109,58.6,Yes,None,24.3,998.68
2024-05-10,192,63.3,No,None,25.9,1730.01
2024-05-11,110,55.9,No,None,20.7,846.32
2024-05-12,105,62.7,Yes,None,18.1,851.36
2024-05-13,216,67.5,No,None,27.1,1963.48
2024-05-14,107,59.4,Yes,None,21.4,955.84
2024-05-15,145,68.8,Yes,None,16.5,1024.69
2024-05-16,154,61.1,No,None,23.1,1399.67
2024-05-17,225,69.9,No,Food Truck Day,15.1,1583.44
2024-05-18,201,71.3,No,None,33.0,2083.92
2024-05-19,69,64.4,Yes,None,25.5,718.98
2024-05-20,165,69.4,No,None,18.9,1265.14
2024-05-21,211,69.4,No,None,17.9,1559.53
2024-05-22,124,68.5,Yes,None,24.7,1097.9
2024-05-23,247,65.0,No,Club Fair,20.4,1991.82
2024-05-24,205,65.3,No,None,20.8,1780.3
2024-05-25,90,61.6,Yes,None,19.9,763.14
2024-05-26,113,68.9,Yes,None,14.4,765.84
2024-05-27,244,68.0,No,None,22.3,2131.08
2024-05-28,163,70.4,Yes,None,17.2,1252.62
2024-05-29,243,81.8,Yes,None,21.0,1992.08
2024-05-30,150,60.8,No,None,15.6,1199.24
2024-05-31,185,68.9,No,None,27.0,1769.54
2024-06-01,150,70.2,No,None,29.1,1449.46
2024-06-02,160,63.0,No,None,20.3,1288.82
2024-06-03,206,72.9,No,None,24.0,1875.08
2024-06-04,192,69.6,No,None,22.3,1679.15
2024-06-05,268,85.7,No,None,21.3,2230.74
2024-06-06,194,69.5,No,None,25.5,1728.48
2024-06-07,246,66.0,No,Club Fair,21.5,2084.99
2024-06-08,180,66.9,No,None,24.8,1487.58
2024-06-09,151,66.4,Yes,None,25.7,1341.56
2024-06-10,259,65.9,No,Career Fair,16.4,1900.25
2024-06-11,216,72.7,No,None,24.9,1914.77
2024-06-12,211,75.4,No,None,20.7,1806.08
2024-06-13,228,74.7,No,None,14.9,1664.11
2024-06-14,268,72.6,No,Food Truck Day,24.9,2363.28
2024-06-15,182,75.7,No,None,20.1,1516.18
2024-06-16,255,69.7,No,Club Fair,25.1,2307.58
2024-06-17,177,69.7,No,None,14.7,1264.08
2024-06-18,161,77.5,No,None,24.6,1472.04
2024-06-19,213,74.0,No,None,23.8,1886.37
2024-06-20,113,73.8,Yes,None,20.2,877.27
2024-06-21,147,72.7,No,None,27.6,1365.13
2024-06-22,143,78.0,No,None,26.5,1347.53
2024-06-23,79,67.6,No,None,25.3,654.53
2024-06-24,156,76.4,No,None,18.4,1272.49
2024-06-25,121,64.6,No,None,13.9,904.53
2024-06-26,209,75.0,No,None,26.1,2020.86
2024-06-27,180,72.9,No,None,24.7,1630.16
2024-06-28,223,72.7,No,None,19.7,1726.43
2024-06-29,149,67.6,No,None,22.0,1266.49
2024-06-30,192,70.5,No,None,21.8,1503.81
2024-07-01,244,74.3,No,None,23.6,2142.36
2024-07-02,247,77.6,No,None,29.1,2438.58
2024-07-03,238,71.0,No,None,25.3,2121.38
2024-07-04,138,71.7,Yes,None,22.5,1237.8
2024-07-05,219,74.7,No,None,24.0,1943.06
2024-07-06,153,74.2,No,None,27.2,1445.16
2024-07-07,167,67.1,No,None,23.1,1469.96
2024-07-08,215,70.5,No,None,21.0,1799.43
2024-07-09,218,77.7,No,None,28.6,2154.62
2024-07-10,230,77.3,No,None,26.5,2161.22
2024-07-11,138,61.0,No,None,26.6,1337.9
2024-07-12,204,76.6,Yes,None,22.5,1717.44
2024-07-13,197,79.3,No,None,22.3,1690.79
2024-07-14,201,77.0,No,None,25.3,1846.58
2024-07-15,194,72.0,No,None,31.0,1894.52
2024-07-16,136,71.7,Yes,None,15.3,941.2
2024-07-17,267,78.2,No,None,21.2,2284.12
2024-07-18,296,74.7,No,Career Fair,31.6,2983.89
2024-07-19,285,81.5,No,None,29.4,2774.06
2024-07-20,139,67.6,No,None,24.3,1256.24
2024-07-21,152,79.0,No,None,25.6,1361.85
2024-07-22,218,71.6,No,None,21.0,1737.97
2024-07-23,171,73.1,Yes,None,21.8,1427.1
2024-07-24,165,67.0,No,None,22.8,1417.08
2024-07-25,195,70.9,No,None,22.8,1611.29
2024-07-26,229,77.3,No,None,25.5,2022.36
2024-07-27,163,68.5,No,None,18.7,1322.41
2024-07-28,159,71.7,No,None,18.5,1261.71
2024-07-29,226,76.3,No,None,24.0,1957.16
2024-07-30,206,72.7,No,None,26.7,1898.27
2024-07-31,176,69.1,No,None,24.5,1674.0
2024-08-01,155,65.0,No,None,19.7,1166.17
2024-08-02,129,69.4,Yes,None,22.0,1125.64
2024-08-03,171,69.5,No,None,19.4,1354.7
2024-08-04,159,70.7,No,None,26.0,1436.33
2024-08-05,231,76.1,No,None,26.6,2150.49
2024-08-06,179,70.6,No,None,19.9,1398.47
2024-08-07,167,66.9,No,None,25.9,1481.2
2024-08-08,219,73.0,No,None,23.6,1916.6
2024-08-09,220,69.2,No,None,20.2,1752.17
2024-08-10,192,74.1,No,None,32.2,1964.58
2024-08-11,153,70.1,No,None,28.7,1481.04
2024-08-12,175,67.8,No,None,20.9,1434.42
2024-08-13,244,74.4,No,None,16.8,1759.91
2024-08-14,181,68.4,No,None,29.0,1846.86
2024-08-15,164,60.9,No,None,22.2,1450.42
2024-08-16,184,63.7,No,None,17.2,1416.65
2024-08-17,108,67.6,Yes,None,15.7,796.66
2024-08-18,143,62.3,No,None,17.5,1033.62
2024-08-19,186,73.2,No,None,26.4,1641.18
2024-08-20,180,72.2,Yes,Club Fair,19.4,1424.0
2024-08-21,192,73.9,No,None,20.3,1492.44
2024-08-22,161,64.5,No,None,22.4,1315.6
2024-08-23,137,67.4,No,None,22.3,1233.66
2024-08-24,141,75.4,No,None,26.8,1303.03
2024-08-25,94,65.7,No,None,23.6,875.93
2024-08-26,146,68.6,No,None,35.3,1557.97
2024-08-27,151,71.1,No,None,20.0,1215.97
2024-08-28,232,65.4,No,Career Fair,23.7,2063.63
2024-08-29,136,63.6,No,None,20.9,1207.77
2024-08-30,56,70.0,Yes,None,17.3,423.18
2024-08-31,95,66.4,Yes,None,23.1,888.33
2024-09-01,109,68.5,No,None,27.7,1028.19
2024-09-02,169,69.8,Yes,Concert,19.8,1282.96
2024-09-03,113,56.6,No,None,16.6,883.43
2024-09-04,113,64.5,No,None,34.4,1160.64
2024-09-05,127,63.7,No,None,23.5,1083.12
2024-09-06,99,67.3,Yes,None,20.8,857.18
2024-09-07,116,61.7,No,None,14.4,834.46
2024-09-08,25,62.0,Yes,None,18.7,193.82
2024-09-09,102,55.5,No,None,24.6,891.56
2024-09-10,157,68.4,Yes,Club Fair,14.0,1183.2
2024-09-11,117,61.1,No,None,18.0,785.93
2024-09-12,138,62.4,No,None,25.7,1253.63
2024-09-13,25,60.2,Yes,None,16.7,188.97
2024-09-14,65,61.4,Yes,None,18.7,455.62
2024-09-15,20,61.7,Yes,None,20.6,82.93
2024-09-16,103,66.8,Yes,None,27.5,938.94
2024-09-17,41,52.9,No,None,16.3,275.82
2024-09-18,99,67.7,No,None,24.0,972.2
2024-09-19,90,53.2,No,None,15.4,732.62
2024-09-20,110,61.9,No,None,20.6,913.18
2024-09-21,137,59.5,No,None,24.0,1258.33
2024-09-22,83,54.3,No,None,15.8,517.33
2024-09-23,177,62.6,No,None,22.9,1529.81
2024-09-24,151,54.1,No,None,20.2,1288.45
2024-09-25,207,68.7,No,None,22.2,1756.24
2024-09-26,108,61.9,Yes,None,24.6,915.47
2024-09-27,194,59.9,No,None,21.9,1602.66
2024-09-28,100,51.5,No,None,20.4,799.23
2024-09-29,94,54.2,Yes,None,14.5,705.04
2024-09-30,84,57.8,Yes,None,15.0,670.34
2024-10-01,155,57.1,No,None,23.3,1363.41
2024-10-02,163,57.4,No,None,27.5,1620.91
2024-10-03,151,62.9,No,None,21.5,1252.23
2024-10-04,108,57.8,Yes,None,20.9,862.49
2024-10-05,27,52.2,Yes,None,21.5,226.36
2024-10-06,149,59.3,No,None,15.9,1149.11
2024-10-07,104,61.1,Yes,None,22.3,888.66
2024-10-08,153,50.6,No,None,18.1,1277.01
2024-10-09,107,48.8,No,None,16.8,805.96
2024-10-10,138,60.2,Yes,None,25.8,1277.86
2024-10-11,134,53.8,No,None,27.2,1304.33
2024-10-12,148,67.6,No,None,23.2,1178.96
2024-10-13,105,51.0,No,None,16.7,712.45
2024-10-14,200,54.2,No,Concert,21.4,1731.11
2024-10-15,121,53.8,No,None,23.4,1095.9
2024-10-16,161,59.6,No,None,27.4,1539.32
2024-10-17,228,65.1,No,None,22.5,1958.77
2024-10-18,63,47.6,Yes,None,20.6,508.93
2024-10-19,109,54.5,No,None,23.0,963.3
2024-10-20,79,53.2,No,None,18.1,614.95
2024-10-21,72,50.3,Yes,None,18.7,566.82
2024-10-22,119,51.7,No,None,17.1,869.32
2024-10-23,156,58.7,No,None,25.9,1461.63
2024-10-24,85,51.9,Yes,None,17.8,687.47
2024-10-25,62,44.8,No,None,19.0,520.89
2024-10-26,39,50.7,Yes,None,16.5,302.31
2024-10-27,175,49.4,No,Career Fair,22.0,1467.98
2024-10-28,59,46.9,No,None,19.2,407.94
2024-10-29,85,48.1,Yes,None,18.0,735.93
2024-10-30,92,41.3,No,None,25.4,763.63
2024-10-31,136,50.3,No,None,25.0,1275.37
2024-11-01,69,50.6,Yes,None,22.5,578.76
2024-11-02,51,43.9,No,None,22.4,392.85
2024-11-03,27,42.2,No,None,26.3,261.81
2024-11-04,47,42.6,No,None,18.9,301.55
2024-11-05,119,57.5,No,None,19.6,877.06
2024-11-06,71,48.3,Yes,None,16.6,583.42
2024-11-07,160,48.0,No,None,22.8,1326.14
2024-11-08,149,57.1,No,None,24.4,1314.95
2024-11-09,110,43.9,Yes,Open House,12.9,765.71
2024-11-10,58,43.2,No,None,15.7,471.17
2024-11-11,65,44.4,No,None,19.5,604.28
2024-11-12,38,46.3,Yes,None,17.6,156.55
2024-11-13,78,48.3,No,None,20.9,710.84
2024-11-14,20,39.2,Yes,None,16.9,141.05
2024-11-15,68,43.1,Yes,None,15.4,467.47
2024-11-16,86,41.3,No,None,17.9,658.5
2024-11-17,20,47.2,Yes,None,17.2,75.56
2024-11-18,103,47.2,Yes,None,16.2,873.41
2024-11-19,96,43.5,No,None,22.4,816.1
2024-11-20,20,38.9,Yes,None,18.4,258.22
2024-11-21,62,46.8,Yes,None,14.7,462.15
2024-11-22,69,47.5,Yes,None,17.9,445.44
2024-11-23,28,35.2,No,None,14.6,154.17
2024-11-24,20,38.7,Yes,None,8.0,87.64
2024-11-25,70,45.5,Yes,None,18.2,574.53
2024-11-26,52,34.1,No,None,18.1,359.1
2024-11-27,76,46.8,Yes,None,12.1,555.52
2024-11-28,24,34.5,Yes,None,22.3,211.78
2024-11-29,52,43.9,Yes,None,16.3,461.81
2024-11-30,31,34.2,No,None,14.7,226.9
2024-12-01,20,37.5,Yes,None,15.8,314.26
2024-12-02,85,41.0,Yes,None,18.2,656.08
2024-12-03,40,35.4,No,None,28.0,339.57
2024-12-04,20,41.7,Yes,None,19.2,155.8
2024-12-05,85,32.3,No,None,18.7,694.77
2024-12-06,34,33.9,Yes,None,20.3,301.97
2024-12-07,20,34.4,No,None,14.0,118.57
2024-12-08,81,36.7,Yes,Concert,12.3,532.73
2024-12-09,60,40.5,Yes,None,12.8,376.06
2024-12-10,20,41.9,Yes,None,13.1,105.59
2024-12-11,47,42.5,Yes,None,22.2,384.7
2024-12-12,60,39.6,Yes,None,25.9,560.24
2024-12-13,72,49.3,Yes,None,21.2,607.8
2024-12-14,20,34.0,Yes,None,17.1,193.43
2024-12-15,32,43.4,No,None,15.6,173.77
2024-12-16,20,41.3,Yes,None,21.4,127.11
2024-12-17,20,43.8,Yes,None,21.6,124.21
2024-12-18,20,32.3,Yes,None,11.9,50.0
2024-12-19,20,33.5,No,None,25.8,202.4
2024-12-20,20,42.1,No,None,23.7,159.35
2024-12-21,20,37.9,Yes,None,8.0,128.23
2024-12-22,20,28.0,No,None,18.2,229.7
2024-12-23,20,31.7,Yes,None,13.4,107.34
2024-12-24,20,40.5,No,None,21.5,246.54
2024-12-25,20,29.3,Yes,None,14.1,122.73
2024-12-26,20,36.2,No,None,16.1,98.1
2024-12-27,20,34.4,Yes,None,10.7,148.48
2024-12-28,20,34.6,Yes,None,16.6,82.39
2024-12-29,20,32.4,Yes,None,22.0,185.74
2024-12-30,20,39.3,Yes,Club Fair,18.8,68.43
2024-12-31,20,37.4,No,None,18.6,152.31
