Date,Open,High,Low,Close
10/31/2025,"47,659.96","47,718.38","47,347.28","47,562.87"
10/30/2025,"47,446.88","48,014.92","47,381.91","47,522.12"
10/29/2025,"47,746.79","48,040.64","47,448.59","47,632.00"
10/28/2025,"47,752.35","47,943.16","47,675.70","47,706.37"
10/27/2025,"47,412.80","47,564.52","47,375.96","47,544.59"
10/24/2025,"46,811.51","47,326.73","46,811.51","47,207.12"
10/23/2025,"46,519.13","46,802.15","46,490.06","46,734.61"
10/22/2025,"46,941.56","46,941.56","46,461.52","46,590.41"
10/21/2025,"46,707.08","47,125.66","46,688.25","46,924.74"
10/20/2025,"46,312.88","46,759.27","46,312.88","46,706.58"
10/17/2025,"45,862.37","46,327.07","45,862.37","46,190.61"
10/16/2025,"46,289.09","46,422.34","45,781.18","45,952.24"
10/15/2025,"46,375.17","46,693.34","46,027.23","46,253.31"
10/14/2025,"45,871.89","46,522.67","45,452.03","46,270.46"
10/13/2025,"45,698.46","46,153.49","45,698.46","46,067.58"
10/10/2025,"46,394.88","46,641.74","45,470.72","45,479.60"
10/09/2025,"46,622.31","46,684.41","46,271.40","46,358.42"
10/08/2025,"46,649.32","46,816.28","46,498.39","46,601.78"
10/07/2025,"46,700.90","46,868.49","46,448.02","46,602.98"
10/06/2025,"46,776.04","46,846.45","46,426.96","46,694.97"
10/03/2025,"46,583.95","47,049.64","46,566.87","46,758.28"
10/02/2025,"46,461.11","46,589.31","46,283.57","46,519.72"
10/01/2025,"46,366.78","46,528.78","46,276.39","46,441.10"
09/30/2025,"46,282.63","46,425.30","46,103.39","46,397.89"
09/29/2025,"46,306.34","46,387.06","46,149.05","46,316.07"
09/26/2025,"46,101.45","46,353.03","46,051.92","46,247.29"
09/25/2025,"46,097.43","46,122.42","45,785.17","45,947.32"
09/24/2025,"46,368.94","46,453.07","46,096.39","46,121.28"
09/23/2025,"46,364.11","46,714.27","46,217.58","46,292.78"
09/22/2025,"46,206.69","46,447.13","46,035.83","46,381.54"
09/19/2025,"46,211.16","46,396.47","46,105.02","46,315.27"
09/18/2025,"46,056.55","46,317.52","45,954.73","46,142.42"
09/17/2025,"45,778.40","46,261.95","45,687.59","46,018.32"
09/16/2025,"45,919.54","45,967.11","45,667.42","45,757.90"
09/15/2025,"45,848.39","45,978.43","45,771.88","45,883.45"
09/12/2025,"46,077.14","46,077.14","45,813.93","45,834.22"
09/11/2025,"45,577.09","46,137.20","45,577.09","46,108.00"
09/10/2025,"45,731.50","45,731.50","45,380.06","45,490.92"
09/09/2025,"45,547.62","45,764.20","45,433.51","45,711.34"
09/08/2025,"45,430.61","45,542.56","45,277.73","45,514.95"
09/05/2025,"45,656.49","45,770.20","45,211.78","45,400.86"
09/04/2025,"45,204.87","45,632.39","45,160.74","45,621.29"
09/03/2025,"45,309.43","45,309.43","44,980.36","45,271.23"
09/02/2025,"45,287.73","45,295.81","44,948.16","45,295.81"
08/29/2025,"45,590.96","45,616.16","45,377.21","45,544.88"
08/28/2025,"45,581.03","45,682.83","45,442.68","45,636.90"
08/27/2025,"45,417.46","45,621.08","45,372.78","45,565.23"
08/26/2025,"45,236.83","45,437.62","45,192.29","45,418.07"
08/25/2025,"45,605.25","45,605.25","45,273.09","45,282.47"
08/22/2025,"44,952.88","45,757.84","44,952.88","45,631.74"
08/21/2025,"44,808.21","44,892.61","44,579.03","44,785.50"
08/20/2025,"44,922.70","45,033.75","44,767.97","44,938.31"
08/19/2025,"44,952.36","45,207.39","44,816.50","44,922.27"
08/18/2025,"44,963.17","44,998.83","44,868.32","44,911.82"
08/15/2025,"45,159.91","45,203.52","44,897.98","44,946.12"
08/14/2025,"44,890.84","44,948.70","44,690.50","44,911.26"
08/13/2025,"44,571.53","44,949.12","44,571.53","44,922.27"
08/12/2025,"44,050.53","44,497.59","44,050.53","44,458.61"
08/11/2025,"44,184.36","44,273.03","43,911.31","43,975.09"
08/08/2025,"44,044.95","44,272.75","44,028.94","44,175.61"
08/07/2025,"44,430.09","44,498.43","43,799.20","43,968.64"
08/06/2025,"44,196.61","44,290.09","44,017.71","44,193.12"
08/05/2025,"44,200.07","44,308.50","43,923.81","44,111.74"
08/04/2025,"43,724.02","44,188.36","43,724.02","44,173.64"
08/01/2025,"43,781.77","43,781.77","43,340.68","43,588.58"
07/31/2025,"44,665.82","44,665.82","44,049.01","44,130.98"
07/30/2025,"44,677.90","44,739.53","44,261.71","44,461.28"
07/29/2025,"44,833.74","44,883.66","44,568.83","44,632.99"
07/28/2025,"44,946.98","44,946.98","44,739.96","44,837.56"
07/25/2025,"44,757.28","44,944.46","44,650.59","44,901.92"
07/24/2025,"44,776.41","44,912.27","44,674.57","44,693.91"
07/23/2025,"44,661.12","45,016.71","44,638.44","45,010.29"
07/22/2025,"44,338.62","44,542.53","44,272.60","44,502.44"
07/21/2025,"44,368.40","44,601.85","44,311.42","44,323.07"
07/18/2025,"44,571.68","44,571.68","44,224.59","44,342.19"
07/17/2025,"44,229.88","44,558.05","44,200.04","44,484.49"
07/16/2025,"44,152.74","44,260.19","43,758.98","44,254.78"
07/15/2025,"44,459.84","44,504.27","44,002.39","44,023.29"
07/14/2025,"44,346.15","44,472.13","44,237.28","44,459.65"
07/11/2025,"44,480.77","44,480.77","44,275.25","44,371.51"
07/10/2025,"44,427.75","44,775.47","44,372.92","44,650.64"
07/09/2025,"44,327.13","44,556.68","44,225.88","44,458.30"
07/08/2025,"44,378.58","44,436.96","44,201.37","44,240.76"
07/07/2025,"44,803.36","44,803.36","44,160.32","44,406.36"
07/03/2025,"44,565.75","44,885.83","44,550.42","44,828.53"
07/02/2025,"44,455.66","44,557.82","44,354.01","44,484.42"
07/01/2025,"44,061.49","44,604.15","44,013.54","44,494.94"
06/30/2025,"44,020.66","44,138.69","43,889.16","44,094.77"
06/27/2025,"43,505.60","43,966.37","43,505.60","43,819.27"
06/26/2025,"43,084.07","43,430.99","43,084.07","43,386.84"
06/25/2025,"43,130.33","43,130.33","42,871.50","42,982.43"
06/24/2025,"42,807.13","43,183.48","42,794.08","43,089.02"
06/23/2025,"42,178.55","42,609.47","41,981.14","42,581.78"
06/20/2025,"42,291.09","42,432.19","42,089.99","42,206.82"
06/18/2025,"42,236.03","42,510.07","42,118.23","42,171.66"
06/17/2025,"42,358.62","42,530.83","42,132.65","42,215.80"
06/16/2025,"42,300.13","42,707.73","42,300.13","42,515.09"
06/13/2025,"42,579.48","42,602.48","42,081.09","42,197.79"
06/12/2025,"42,737.36","42,970.40","42,606.42","42,967.62"
06/11/2025,"42,882.86","43,115.69","42,738.62","42,865.77"
06/10/2025,"42,738.27","42,925.94","42,710.09","42,866.87"
06/09/2025,"42,786.19","42,893.09","42,567.55","42,761.76"
06/06/2025,"42,631.82","42,924.56","42,582.55","42,762.87"
06/05/2025,"42,487.89","42,601.45","42,211.69","42,319.74"
06/04/2025,"42,574.13","42,645.00","42,427.74","42,427.74"
06/03/2025,"42,304.50","42,568.38","42,186.44","42,519.64"
06/02/2025,"42,199.94","42,317.00","41,853.62","42,305.48"
05/30/2025,"42,192.35","42,376.08","41,906.16","42,270.07"
05/29/2025,"42,190.02","42,266.00","41,828.35","42,215.73"
05/28/2025,"42,361.63","42,448.72","42,042.26","42,098.70"
05/27/2025,"41,849.04","42,350.66","41,849.04","42,343.65"
05/23/2025,"41,525.70","41,788.61","41,354.09","41,603.07"
05/22/2025,"41,763.68","42,090.42","41,714.43","41,859.09"
05/21/2025,"42,354.46","42,439.27","41,785.22","41,860.44"
05/20/2025,"42,735.11","42,800.04","42,485.37","42,677.24"
05/19/2025,"42,542.81","42,842.04","42,337.71","42,792.07"
05/16/2025,"42,356.20","42,663.68","42,232.56","42,654.74"
05/15/2025,"41,777.98","42,351.42","41,777.98","42,322.75"
05/14/2025,"42,150.09","42,254.75","41,952.86","42,051.06"
05/13/2025,"42,507.33","42,507.33","42,132.04","42,140.43"
05/12/2025,"41,899.05","42,418.05","41,899.05","42,410.10"
05/09/2025,"41,405.48","41,512.43","41,150.73","41,249.38"
05/08/2025,"41,312.57","41,773.22","41,167.76","41,368.45"
05/07/2025,"40,956.08","41,266.91","40,829.29","41,113.97"
05/06/2025,"41,000.19","41,164.33","40,759.41","40,829.00"
05/05/2025,"41,173.38","41,445.91","41,063.44","41,218.83"
05/02/2025,"40,960.42","41,386.19","40,960.42","41,317.43"
05/01/2025,"40,918.04","41,099.52","40,705.63","40,752.96"
04/30/2025,"40,290.41","40,777.16","39,745.63","40,669.36"
04/29/2025,"40,233.98","40,630.49","40,222.18","40,527.62"
04/28/2025,"40,171.74","40,414.18","39,869.10","40,227.59"
04/25/2025,"40,045.73","40,137.31","39,718.68","40,113.50"
04/24/2025,"39,531.05","40,157.91","39,371.87","40,093.40"
04/23/2025,"39,815.01","40,376.11","39,487.14","39,606.57"
04/22/2025,"38,516.23","39,272.03","38,516.23","39,186.98"
04/21/2025,"38,906.04","38,906.04","37,830.66","38,170.41"
04/17/2025,"39,745.58","39,745.58","38,950.31","39,142.23"
04/16/2025,"40,179.49","40,416.80","39,394.75","39,669.39"
04/15/2025,"40,527.82","40,791.18","40,346.94","40,368.96"
04/14/2025,"40,546.15","40,778.29","40,159.02","40,524.79"
04/11/2025,"39,493.42","40,404.27","39,255.21","40,212.71"
04/10/2025,"39,996.93","39,996.93","38,427.70","39,593.66"
04/09/2025,"37,387.91","40,778.70","37,275.69","40,608.45"
04/08/2025,"38,827.10","39,426.60","37,103.86","37,645.59"
04/07/2025,"37,879.65","39,207.02","36,611.78","37,965.60"
04/04/2025,"40,097.90","40,097.90","38,264.87","38,314.86"
04/03/2025,"40,986.52","41,173.62","40,513.11","40,545.93"
04/02/2025,"41,736.08","42,382.27","41,629.70","42,225.32"
04/01/2025,"41,879.75","42,140.66","41,519.90","41,989.96"
03/31/2025,"41,382.52","42,147.38","41,148.13","42,001.76"
03/28/2025,"42,245.82","42,258.15","41,530.00","41,583.90"
03/27/2025,"42,432.96","42,523.84","42,142.19","42,299.70"
03/26/2025,"42,655.85","42,821.83","42,326.67","42,454.79"
03/25/2025,"42,635.54","42,696.61","42,441.83","42,587.50"
03/24/2025,"42,180.14","42,638.85","42,180.14","42,583.32"
03/21/2025,"41,763.40","42,011.40","41,433.86","41,985.35"
03/20/2025,"41,795.26","42,250.29","41,695.61","41,953.32"
03/19/2025,"41,613.19","42,178.41","41,613.19","41,964.63"
03/18/2025,"41,772.91","41,787.25","41,415.43","41,581.31"
03/17/2025,"41,460.22","42,013.10","41,412.75","41,841.63"
03/14/2025,"41,057.57","41,528.11","40,929.54","41,488.19"
03/13/2025,"41,280.05","41,360.12","40,661.77","40,813.57"
03/12/2025,"41,577.50","41,721.36","41,010.24","41,350.93"
03/11/2025,"41,837.95","41,868.27","41,175.37","41,433.48"
03/10/2025,"42,507.65","42,541.36","41,612.92","41,911.71"
03/07/2025,"42,503.07","42,898.68","42,175.62","42,801.72"
03/06/2025,"42,848.49","42,970.49","42,381.56","42,579.08"
03/05/2025,"42,518.37","43,135.92","42,418.73","43,006.59"
03/04/2025,"43,040.30","43,084.00","42,347.75","42,520.99"
03/03/2025,"43,900.49","44,033.78","42,919.31","43,191.24"
02/28/2025,"43,259.84","43,873.55","43,100.87","43,840.91"
02/27/2025,"43,516.44","43,884.19","43,224.53","43,239.50"
02/26/2025,"43,635.42","43,866.50","43,318.93","43,433.12"
02/25/2025,"43,509.74","43,767.74","43,282.98","43,621.16"
02/24/2025,"43,493.12","43,699.15","43,343.67","43,461.21"
02/21/2025,"43,820.13","43,959.73","43,349.33","43,428.02"
02/20/2025,"44,561.11","44,561.11","43,950.16","44,176.65"
02/19/2025,"44,478.12","44,636.19","44,312.65","44,627.59"
02/18/2025,"44,583.91","44,602.02","44,319.32","44,556.34"
02/14/2025,"44,720.99","44,769.05","44,498.96","44,546.08"
02/13/2025,"44,425.94","44,768.26","44,366.62","44,711.43"
02/12/2025,"44,357.70","44,467.21","44,104.48","44,368.56"
02/11/2025,"44,401.38","44,640.60","44,319.51","44,593.65"
02/10/2025,"44,396.92","44,622.19","44,301.42","44,470.41"
02/07/2025,"44,762.57","44,857.11","44,279.78","44,303.40"
02/06/2025,"44,949.19","44,966.63","44,545.27","44,747.63"
02/05/2025,"44,563.63","44,886.88","44,352.99","44,873.28"
02/04/2025,"44,469.46","44,597.71","44,328.52","44,556.04"
02/03/2025,"44,268.15","44,594.54","43,879.06","44,421.91"
01/31/2025,"45,054.36","45,054.36","44,507.22","44,544.66"
01/30/2025,"44,548.69","45,008.75","44,548.69","44,882.13"
01/29/2025,"44,819.55","44,962.58","44,579.10","44,713.52"
01/28/2025,"44,756.36","44,976.35","44,621.96","44,850.35"
01/27/2025,"44,148.84","44,727.85","44,026.27","44,713.58"
01/24/2025,"44,533.75","44,545.52","44,332.22","44,424.25"
01/23/2025,"44,113.55","44,565.26","44,113.55","44,565.07"
01/22/2025,"44,178.06","44,208.34","44,042.11","44,156.73"
01/21/2025,"43,528.65","44,050.13","43,528.65","44,025.81"
01/17/2025,"43,312.55","43,653.25","43,312.55","43,487.83"
01/16/2025,"43,290.25","43,294.81","43,081.75","43,153.13"
01/15/2025,"42,927.76","43,323.49","42,927.76","43,221.55"
01/14/2025,"42,366.42","42,544.57","42,157.03","42,518.28"
01/13/2025,"41,924.68","42,319.60","41,844.89","42,297.12"
01/10/2025,"42,540.29","42,540.29","41,877.30","41,938.45"
01/08/2025,"42,542.10","42,656.22","42,327.79","42,635.20"
01/07/2025,"42,809.71","42,931.54","42,380.75","42,528.36"
01/06/2025,"42,835.52","43,115.31","42,611.16","42,706.56"
01/03/2025,"42,495.76","42,782.76","42,436.92","42,732.13"
01/02/2025,"42,660.09","42,905.09","42,174.80","42,392.27"
